id,title,brand,category,original_price,bazaar_price,description,images,sizes,url
shoe001,Men's Running Shoes - Carbon Series,Nike,men,1200.0,10000.0,"Premium running shoes with carbon fiber plate for maximum energy return. Breathable mesh upper and responsive cushioning for comfort on long runs.",https://static.nike.com/a/images/t_PDP_1280_v1/f_auto/i1-5cc7de3b-2afc-49c2-a1e4-0508997d09e6/react-infinity-run-flyknit-mens-running-shoe-6PBZR4.jpg|https://static.nike.com/a/images/t_PDP_1280_v1/f_auto/i1-73e9395c-23f1-497b-8962-aff8d1f9c7a2/react-infinity-run-flyknit-mens-running-shoe-6PBZR4.jpg,7|7.5|8|8.5|9|9.5|10|10.5|11|12,https://example.com/mens-running-shoes-carbon
shoe002,Women's Training Shoes - Flex Series,Adidas,women,900.0,8000.0,"Versatile training shoes designed for gym workouts and light runs. Features a flexible outsole and cushioned midsole for all-day comfort.",https://assets.adidas.com/images/h_840/15f901c90a2d4c4cbacfad2400ee3caf_9366/Ultraboost_Light_Running_Shoes_Pink_HP9203_01_standard.jpg|https://assets.adidas.com/images/h_840/c894f4d763de4215b404ad2400ee49d0_9366/Ultraboost_Light_Running_Shoes_Pink_HP9203_02_standard_hover.jpg,5|5.5|6|6.5|7|7.5|8|8.5|9,https://example.com/womens-training-shoes-flex
shoe003,Kids' Casual Sneakers - Play Series,Puma,kids,600.0,5000.0,"Colorful and durable sneakers perfect for active kids. Non-marking rubber outsole and easy-to-use velcro straps for quick on and off.",https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/194862/01/sv01/fnd/IND/fmt/png/PUMA-Smash-v2-Kids'-Sneakers,https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_600,h_600/global/194862/02/sv01/fnd/IND/fmt/png/PUMA-Smash-v2-Kids'-Sneakers,12C|13C|1|2|3,https://example.com/kids-casual-sneakers-play
shoe004,Men's Formal Oxfords - Classic Collection,Clarks,men,1500.0,12000.0,"Premium leather oxfords with a sleek silhouette. Features a cushioned footbed and durable leather outsole. Perfect for formal occasions or office wear.",https://clarks.scene7.com/is/image/Pangaea2Build/26159943_W_1|https://clarks.scene7.com/is/image/Pangaea2Build/26159943_W_2,7|8|9|10|11|12,https://example.com/mens-formal-oxfords-classic
shoe005,Women's Slip-On Sneakers - Urban Chic,Skechers,women,800.0,7000.0,"Lightweight slip-on sneakers with memory foam insole for all-day comfort. Stylish enough for casual outings while providing athletic-inspired comfort.",https://www.skechers.com/dw/image/v2/BDCN_PRD/on/demandware.static/-/Sites-skechers-master/default/dwb5310e36/images/large/149495_BLK.jpg|https://www.skechers.com/dw/image/v2/BDCN_PRD/on/demandware.static/-/Sites-skechers-master/default/dw3eecf609/images/large/149495_BLK_ALT1.jpg,5|6|7|8|9|10,https://example.com/womens-slip-on-sneakers-urban
shoe006,Kids' Light-Up Sneakers - Glow Series,Sketchers,kids,700.0,6000.0,"Fun light-up sneakers that illuminate with each step. Durable construction with easy-to-use elastic laces and a secure hook-and-loop strap.",https://www.skechers.com/dw/image/v2/BDCN_PRD/on/demandware.static/-/Sites-skechers-master/default/dw51a36e02/images/large/302952L_RYBK.jpg|https://www.skechers.com/dw/image/v2/BDCN_PRD/on/demandware.static/-/Sites-skechers-master/default/dw7f4b6895/images/large/302952L_RYBK_ALT1.jpg,10C|11C|12C|13C|1|2|3,https://example.com/kids-light-up-sneakers-glow
shoe007,Men's Basketball Shoes - Slam Series,Under Armour,men,1800.0,15000.0,"High-performance basketball shoes with enhanced ankle support and responsive cushioning. Features a herringbone traction pattern for superior grip on the court.",https://underarmour.scene7.com/is/image/Underarmour/3025618-002_DEFAULT?rp=standard-0pad|pdpMainDesktop&scl=1&fmt=jpg&qlt=85&resMode=sharp2&cache=on,on&bgc=f0f0f0&wid=566&hei=708&size=566,708|https://underarmour.scene7.com/is/image/Underarmour/3025618-002_HEEL?rp=standard-0pad|pdpMainDesktop&scl=1&fmt=jpg&qlt=85&resMode=sharp2&cache=on,on&bgc=f0f0f0&wid=566&hei=708&size=566,708,8|8.5|9|9.5|10|10.5|11|12|13,https://example.com/mens-basketball-shoes-slam
shoe008,Women's Running Shoes - Swift Series,New Balance,women,1300.0,11000.0,"Lightweight and responsive running shoes designed for neutral runners. Features Fresh Foam midsole technology for a plush, supportive ride.",https://nb.scene7.com/is/image/NB/w880b12_nb_02_i?$pdpflexf2$&wid=440&hei=440|https://nb.scene7.com/is/image/NB/w880b12_nb_05_i?$pdpflexf2$&wid=440&hei=440,5|5.5|6|6.5|7|7.5|8|8.5|9|10,https://example.com/womens-running-shoes-swift
shoe009,Kids' Outdoor Sandals - Adventure Series,Merrell,kids,650.0,5500.0,"Durable and waterproof sandals perfect for outdoor adventures. Quick-dry materials and adjustable straps for a secure fit. Non-marking rubber outsole for excellent traction.",https://photos.cdn-outlet.com/photos/vendors/527/images/A_MK266717_Blue-Merrell-Little-Kid-Big-Kid-Hydro-Sandal_2019-04-18_12-16-26.jpg|https://photos.cdn-outlet.com/photos/vendors/527/images/B_MK266717_Blue-Merrell-Little-Kid-Big-Kid-Hydro-Sandal_2019-04-18_12-16-26.jpg,10C|11C|12C|13C|1|2|3,https://example.com/kids-outdoor-sandals-adventure
shoe010,Men's Casual Loafers - Comfort Series,Ecco,men,1400.0,12000.0,"Premium leather loafers with innovative comfort technology. Perfect for all-day wear with anatomical support and soft cushioning.",https://us.ecco.com/dw/image/v2/BCNL_PRD/on/demandware.static/-/Sites-ecco/default/dw2e43fddd/productimages/470394-01001-angle.jpg|https://us.ecco.com/dw/image/v2/BCNL_PRD/on/demandware.static/-/Sites-ecco/default/dw8c3db7e7/productimages/470394-01001-top.jpg,7|8|9|10|11|12,https://example.com/mens-casual-loafers-comfort
shoe011,Women's Heeled Sandals - Elegance Collection,Steve Madden,women,1100.0,9000.0,"Stylish heeled sandals with a sleek silhouette and ankle strap for secure fit. 3.5-inch heel and padded footbed for comfort.",https://stevemadden.gumlet.io/product/410354711005/665/410354711005_1.jpg|https://stevemadden.gumlet.io/product/410354711005/665/410354711005_2.jpg,5|6|7|8|9|10,https://example.com/womens-heeled-sandals-elegance
shoe012,Kids' Sports Shoes - Active Series,Asics,kids,750.0,6500.0,"Durable and supportive sports shoes designed for active kids. Breathable upper and cushioned midsole for all-day comfort during play.",https://images.asics.com/is/image/asics/1014A203_403_SR_RT_GLB?$zoom$|https://images.asics.com/is/image/asics/1014A203_403_SR_LT_GLB?$zoom$,10C|11C|12C|13C|1|2|3,https://example.com/kids-sports-shoes-active